N,Np,Nc,repetition,M,seconds,primes
10,8,1,9,100000,2.403236777,6611
10,8,1,10,100000,2.518543452,6700
100,1,1,1,100000,0.169229887,6503
100,1,1,2,100000,0.121921391,6671
100,1,1,3,100000,0.120351791,6535
100,1,1,4,100000,0.115986992,6552
100,1,1,5,100000,0.114387892,6524
100,1,1,6,100000,0.120386191,6549
100,1,1,7,100000,0.124758491,6824
100,1,1,8,100000,0.118730791,6767
100,1,1,9,100000,0.114562191,6623
100,1,1,10,100000,0.111325191,6639
100,1,2,1,100000,0.147799088,6654
100,1,2,2,100000,0.090015593,6540
100,1,2,3,100000,0.087244593,6605
100,1,2,4,100000,0.092238793,6645
100,1,2,5,100000,0.090116193,6531
100,1,2,6,100000,0.079081194,6607
100,1,2,7,100000,0.105830392,6472
100,1,2,8,100000,0.092510093,6660
100,1,2,9,100000,0.090460494,6739
100,1,2,10,100000,0.095540093,6702
100,1,4,1,100000,2.230363732,6669
100,1,4,2,100000,2.405408326,6692
100,1,4,3,100000,1.985363404,6637
100,1,4,4,100000,2.110674036,6741
100,1,4,5,100000,2.086241529,6737
100,1,4,6,100000,1.753773736,6691
100,1,4,7,100000,2.033119490,6573
100,1,4,8,100000,2.065387387,6548
100,1,4,9,100000,1.999388893,6749
100,1,4,10,100000,1.848368328,6620
100,1,8,1,100000,2.162732253,6589
100,1,8,2,100000,1.911133369,6594
100,1,8,3,100000,1.928120868,6480
100,1,8,4,100000,1.917543470,6630
100,1,8,5,100000,1.995965766,6687
100,1,8,6,100000,1.906890072,6572
100,1,8,7,100000,1.921254770,6597
100,1,8,8,100000,1.921797971,6633
100,1,8,9,100000,1.908904276,6690
100,1,8,10,100000,2.050851167,6634
100,2,1,1,100000,0.333085679,6650
100,2,1,2,100000,0.270401182,6560
100,2,1,3,100000,0.260825083,6559
100,2,1,4,100000,0.258048583,6566
100,2,1,5,100000,0.255690283,6585
100,2,1,6,100000,0.268874382,6730
100,2,1,7,100000,0.261324783,6595
100,2,1,8,100000,0.314963179,6682
100,2,1,9,100000,0.321043979,6765
100,2,1,10,100000,0.308785580,6672
100,4,1,1,100000,2.138042472,6713
100,4,1,2,100000,2.052774582,6780
100,4,1,3,100000,2.247067070,6555
100,4,1,4,100000,2.337228669,6577
100,4,1,5,100000,2.586294616,6721
100,4,1,6,100000,2.378697823,6632
100,4,1,7,100000,2.322506424,6570
100,4,1,8,100000,1.949454343,6664
100,4,1,9,100000,1.936124946,6644
100,4,1,10,100000,1.960185844,6614
100,8,1,1,100000,2.118836040,6623
100,8,1,2,100000,2.156413379,6637
100,8,1,3,100000,1.934510890,6606
100,8,1,4,100000,2.238584598,6688
100,8,1,5,100000,2.348115599,6577
100,8,1,6,100000,2.260667275,6820
100,8,1,7,100000,2.303949382,6620
100,8,1,8,100000,2.464090908,6744
100,8,1,9,100000,2.458473870,6692
100,8,1,10,100000,2.349332161,6567
1000,1,1,1,100000,0.173540604,6784
1000,1,1,2,100000,0.107974303,6607
1000,1,1,3,100000,0.102537303,6690
1000,1,1,4,100000,0.100853403,6576
1000,1,1,5,100000,0.097026003,6654
1000,1,1,6,100000,0.094755802,6594
1000,1,1,7,100000,0.096413703,6726
1000,1,1,8,100000,0.094446503,6768
1000,1,1,9,100000,0.094039502,6640
1000,1,1,10,100000,0.098997303,6706
1000,1,2,1,100000,0.089119302,6752
1000,1,2,2,100000,0.049208301,6669
1000,1,2,3,100000,0.046894001,6732
1000,1,2,4,100000,0.048603601,6723
1000,1,2,5,100000,0.048400902,6569
1000,1,2,6,100000,0.049868601,6677
1000,1,2,7,100000,0.050231902,6574
1000,1,2,8,100000,0.051660501,6578
1000,1,2,9,100000,0.051154402,6672
1000,1,2,10,100000,0.052193801,6769
1000,1,4,1,100000,1.873177949,6706
1000,1,4,2,100000,1.761015605,6595
1000,1,4,3,100000,1.804215811,6631
1000,1,4,4,100000,1.749184407,6777
1000,1,4,5,100000,2.132307731,6628
1000,1,4,6,100000,2.204060314,6850
1000,1,4,7,100000,2.099051005,6643
1000,1,4,8,100000,2.400550078,6747
1000,1,4,9,100000,2.069465356,6682
